,EMf3, ECf11, EMf1, EMf7, MVf12, EMf2, ECf9, bkEC, bkEM, bkMV, EMw3, EMw6, ECw11, EMw1, EMw4, EMw7, EMw8, MVw12, EMw2, EMw5, ECw9, ECw10, MVw13
Otu00125,0,0,0,0,0,0,0,0,0,0,0,0,0,10,602,525,53,1,0,0,0,0,2
Otu00126,6,14,67,28,31,6,77,68,83,3,0,0,0,0,0,0,0,0,0,2,10,0,0
Otu00127,3,5,15,1,22,42,0,0,0,7,28,26,88,37,420,54,80,1,4,7,56,188,7
Otu00128,0,0,0,0,0,0,0,0,0,0,39,17,37,15,21,0,0,3,92,647,0,282,0
Otu00129,31,13,16,120,0,288,90,7,17,258,12,3,0,0,0,0,0,0,0,1,16,3,0
Otu00130,0,0,0,0,0,0,0,0,0,1,0,833,257,55,0,0,0,0,2,1,0,0,0
Otu00131,0,0,0,0,0,0,0,0,5,2,179,118,0,47,0,0,0,0,120,250,360,16,13
Otu00132,0,0,0,0,1,0,0,4,6,0,96,48,50,15,1,0,0,58,17,23,773,12,4
Otu00133,0,0,0,0,0,0,0,0,6,1,19,167,7,45,0,0,0,0,300,9,523,0,11
Otu00134,0,0,0,27,0,0,0,0,0,0,0,47,0,0,0,0,699,0,280,14,0,0,0
Otu00135,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1033,1,0,0,0,0
Otu00136,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,1,1027,0,11
Otu00137,0,0,0,0,0,0,0,0,0,0,0,447,146,452,0,0,0,0,6,0,1,0,0
Otu00138,7,21,78,64,8,8,58,45,84,184,5,0,0,0,0,0,0,0,0,0,6,0,0
Otu00139,0,113,0,4,0,1,205,159,415,0,0,0,0,0,0,0,0,0,0,0,12,0,0
Otu00140,6,4,0,943,0,3,3,0,0,25,1,0,0,0,0,0,0,0,0,1,0,0,2
Otu00141,13,44,22,48,26,17,53,76,101,60,1,0,0,0,0,0,0,0,0,8,6,0,0
Otu00142,4,3,16,28,15,1,27,16,45,604,14,1,0,0,0,0,0,0,0,0,6,0,4
Otu00143,6,18,15,32,0,11,43,69,92,73,0,0,0,0,0,0,0,0,0,0,32,0,0
Otu00144,0,0,0,0,2,0,0,0,0,0,7,3,1,0,956,0,0,0,0,18,0,0,0
Otu00145,0,0,0,1,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,1,7,602,55
Otu00146,4,28,16,28,0,1,20,19,20,0,22,24,56,3,0,93,0,14,13,21,63,252,2
Otu00147,38,29,667,8,0,1,6,13,34,0,0,0,0,0,0,0,21,0,0,1,0,0,0
Otu00148,8,22,18,43,0,2,89,128,81,257,17,0,0,1,0,0,0,0,0,4,11,0,0
Otu00149,0,0,0,0,0,0,0,0,0,0,112,14,0,3,0,27,0,636,0,5,59,0,8
Otu00150,0,3,0,0,0,0,0,0,0,0,35,119,32,3,1,0,0,0,555,195,0,0,9
Otu00151,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,934,1,0,0,0
Otu00152,0,0,0,0,0,0,0,0,0,0,12,678,81,2,0,1,0,0,163,0,0,0,0
Otu00153,0,17,72,0,0,0,0,14,103,0,0,1,0,8,0,0,0,0,0,0,4,0,0
Otu00154,0,1,0,0,0,0,0,0,0,0,0,766,0,130,0,0,0,0,10,13,0,0,0
Otu00155,540,15,84,14,0,259,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Otu00156,0,0,0,1,146,2,0,1,0,0,0,3,63,39,0,0,0,13,106,1,37,493,5
Otu00157,0,0,0,0,0,0,0,0,0,0,28,682,57,19,0,0,0,0,104,0,0,0,0
Otu00158,1,6,7,7,14,1,7,20,37,668,23,0,0,0,0,0,0,0,0,0,1,0,1
Otu00159,0,3,0,0,0,0,0,0,0,0,1,417,0,49,0,0,0,0,4,274,0,0,0
Otu00160,1,0,11,1,611,2,4,2,3,0,4,10,24,29,0,153,0,0,0,10,0,0,0
Otu00161,0,4,0,0,0,0,0,0,0,0,116,191,0,57,0,0,0,10,92,347,53,0,1
Otu00162,0,0,0,0,0,1,0,0,0,0,2,603,31,214,0,1,0,0,6,1,0,0,0
Otu00163,0,0,0,0,0,0,0,0,0,0,2,750,0,17,0,0,0,0,68,0,0,0,2
Otu00164,0,0,0,0,1,0,0,0,0,0,0,0,0,30,606,168,18,0,0,2,0,0,4
Otu00165,18,13,11,14,35,5,13,112,63,123,4,5,1,9,0,14,0,0,0,1,6,0,1
Otu00166,0,1,0,0,0,0,1,0,2,7,44,27,1,23,0,12,0,0,24,191,174,0,3
Otu00167,0,0,0,0,0,0,0,0,0,0,0,752,28,0,0,0,0,0,29,0,0,0,0
Otu00168,0,0,0,0,1,0,0,0,0,0,1,467,305,9,0,0,0,0,16,1,0,0,0
Otu00169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0
Otu00170,189,36,81,54,12,196,16,7,3,14,4,2,31,38,20,0,0,0,0,1,0,0,1
Otu00171,0,0,0,0,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Otu00172,10,17,11,36,0,5,15,243,96,134,5,8,1,5,0,0,0,1,0,0,20,0,0
Otu00173,2,17,31,21,4,5,44,43,62,27,2,0,0,0,0,0,0,0,0,0,7,0,0
Otu00174,0,0,0,0,0,0,0,0,0,0,86,481,83,123,0,0,0,0,1,10,0,0,0
Otu00175,27,0,72,478,118,43,6,0,0,0,0,1,16,23,0,0,0,0,0,0,0,0,0
Otu00176,500,7,54,16,0,196,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00177,117,149,144,152,0,176,25,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0
Otu00178,20,20,6,78,15,9,41,12,21,0,2,0,0,6,10,3,0,0,1,2,2,0,0
Otu00179,0,7,12,31,696,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Otu00180,1,0,0,0,1,1,0,0,0,0,1,14,0,727,0,0,0,3,0,1,0,0,0
Otu00181,0,4,0,0,0,0,0,0,2,0,120,96,4,6,0,0,0,0,6,383,106,0,2
Otu00182,0,0,0,0,0,0,0,0,0,0,0,717,9,4,1,0,0,0,1,0,0,0,0
Otu00183,97,10,0,22,11,55,62,64,72,93,3,0,20,0,0,0,0,0,1,0,3,0,0
Otu00184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,620,81,0,0,0,0,0,1
Otu00185,0,0,0,0,0,0,0,0,2,0,61,54,1,16,37,32,0,108,29,86,177,0,15
Otu00186,184,33,86,184,0,169,20,8,0,0,0,0,0,19,0,0,0,0,0,3,1,0,0
Otu00187,64,120,20,236,105,118,7,0,12,11,2,0,0,0,0,0,0,0,0,4,0,0,0
Otu00188,38,11,21,73,0,77,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu00189,0,0,0,0,0,0,0,0,0,0,5,639,0,50,0,0,0,0,2,0,0,0,0
Otu00190,0,0,0,0,0,0,0,0,1,0,0,3,0,106,93,0,0,0,0,0,250,44,193
Otu00191,19,48,9,36,0,5,75,66,72,0,1,1,2,5,21,14,12,2,2,0,26,3,0
Otu00192,0,0,0,0,0,0,0,0,0,0,0,361,79,246,0,0,0,0,0,1,0,0,0
Otu00193,149,42,5,47,0,91,8,34,14,0,5,0,0,0,0,0,0,0,0,2,2,0,0
Otu00194,0,0,0,0,0,0,0,2,5,0,1,10,0,6,0,0,0,17,23,4,603,0,16
Otu00195,0,6,0,0,672,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00196,0,0,0,0,10,0,0,4,0,0,0,1,44,9,124,21,19,4,0,0,46,381,2
Otu00197,0,0,0,0,23,0,0,3,0,4,0,1,21,3,198,60,51,5,1,0,88,128,22
Otu00198,90,55,81,249,0,136,15,0,1,0,8,0,1,0,0,0,0,0,0,3,17,0,0
Otu00199,58,65,49,182,141,63,4,2,0,0,0,0,0,75,0,0,0,27,0,2,0,0,0
Otu00200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,0,0,0,0,2
Otu00201,16,85,335,10,1,1,8,41,76,0,0,1,0,0,0,0,0,0,0,0,3,5,0
Otu00202,27,141,100,139,14,77,20,1,1,0,7,5,0,23,0,0,13,0,0,4,76,0,6
Otu00203,0,0,0,0,0,0,0,0,0,0,0,300,103,255,0,0,0,0,1,0,0,0,0
Otu00204,0,2,0,0,0,0,1,0,0,3,305,1,0,0,0,11,0,0,0,107,0,0,0
Otu00205,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,159,0,471
Otu00206,185,19,31,56,0,184,30,17,4,1,0,2,0,0,0,0,0,0,0,0,0,0,1
Otu00207,96,40,141,113,3,197,19,1,0,0,1,0,0,16,0,0,0,0,0,2,0,0,0
Otu00208,0,0,0,0,0,0,0,0,0,0,5,271,0,29,0,0,0,0,314,8,0,0,1
Otu00209,0,0,0,0,0,0,0,0,2,1,23,335,1,10,0,0,0,0,2,23,214,0,17
Otu00210,0,0,0,0,0,0,0,0,0,0,9,549,6,18,0,0,0,0,46,0,0,0,0
Otu00211,0,0,0,0,0,0,0,1,0,0,0,304,31,21,0,0,0,0,133,8,116,0,0
Otu00212,0,0,0,0,0,1,0,0,0,0,0,436,31,145,0,0,0,0,1,0,0,0,0
Otu00213,0,0,0,0,0,0,0,0,0,0,215,10,0,0,36,0,0,0,352,0,0,0,0
Otu00214,0,0,0,0,0,0,0,0,0,1,320,165,0,100,18,0,0,0,1,0,0,0,2
Otu00215,9,17,4,16,8,3,7,53,68,36,2,0,7,0,0,0,0,0,9,0,2,0,0
Otu00216,0,0,0,0,0,0,0,0,0,4,599,0,0,1,0,0,0,0,0,0,0,0,0
Otu00217,0,0,0,0,0,0,0,5,2,0,19,20,34,5,2,0,0,31,12,10,439,19,5
Otu00218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0
Otu00219,0,0,0,0,0,0,0,0,0,0,4,14,0,1,0,0,0,0,569,6,0,0,0
Otu00220,0,0,0,0,1,0,0,0,0,4,268,75,0,1,0,0,0,7,0,142,54,0,41
Otu00221,0,0,0,0,26,0,0,0,1,11,0,7,101,2,0,0,0,117,0,1,277,30,1
Otu00222,0,0,0,0,0,0,0,0,0,1,331,2,0,5,0,0,0,83,2,18,6,0,5
Otu00223,3,3,1,0,0,2,3,120,74,78,6,2,7,0,0,0,0,7,8,1,15,0,0
