,EMf3,ECf11,EMf1,EMf7,MVf12,EMf2,ECf9,bkEC,bkEM,bkMV,EMw3,EMw6,ECw11,EMw1,EMw4,EMw7,EMw8,MVw12,EMw2,EMw5,ECw9,ECw10,MVw13
B_Otu000235,0,25,3,16,0,0,37,0,0,0,0,0,3,28,32,369,238,4,0,0,1,2,0
B_Otu000236,0,0,0,0,5,0,0,0,0,0,153,274,0,66,0,0,0,4,31,58,60,0,0
B_Otu000237,48,71,133,66,0,61,412,121,396,14,0,0,0,1,0,0,0,0,0,0,0,0,0
B_Otu000238,150,21,36,28,0,924,46,14,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0
B_Otu000239,0,4,0,0,0,0,12,0,0,0,0,0,0,14,10,243,433,0,0,0,0,6,0
B_Otu000240,322,46,110,129,0,403,164,64,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0
B_Otu000241,0,8,0,0,5,0,0,0,0,0,0,2,9,1,0,0,0,9,0,0,320,7,10
B_Otu000242,0,0,0,0,0,0,0,0,0,0,83,48,0,9,0,0,0,0,299,64,30,0,0
B_Otu000243,0,0,0,0,0,0,0,0,0,0,332,368,0,39,0,0,0,0,0,67,0,0,0
B_Otu000244,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,1,0,0
