,EMf3, ECf11, EMf1, EMf7, MVf12, EMf2, ECf9, bkEC, bkEM, bkMV, EMw3, EMw6, ECw11, EMw1, EMw4, EMw7, EMw8, MVw12, EMw2, EMw5, ECw9, ECw10, MVw13
Otu000169,0,0,0,0,0,0,0,0,0,0,63,429,0,67,0,0,0,0,116,18,5,0,0
Otu000170,0,2,3,15,5,0,1,0,4,8,0,0,0,1,0,1,0,396,0,0,105,29,125
Otu000171,0,1,0,12,0,0,4,0,0,0,0,0,7,35,11,151,258,86,0,0,14,86,28
Otu000172,0,1,0,0,3,0,0,0,0,0,99,140,33,61,0,0,0,100,6,171,41,0,39
Otu000173,0,1,0,0,0,0,0,0,0,0,29,22,31,17,0,0,0,0,178,387,11,0,14
Otu000174,4,19,4,25,7,3,12,4,27,8,1,0,1,0,0,0,0,248,0,1,55,20,246
Otu000175,0,0,0,0,0,0,0,0,0,0,68,172,5,32,0,0,0,0,129,263,14,0,0
Otu000176,0,0,0,0,0,0,0,0,0,0,4,531,7,77,0,0,0,0,33,16,10,0,0
Otu000177,0,2,0,0,0,0,0,0,0,0,3,75,6,53,0,1,0,0,0,2,9,0,10
Otu000178,0,0,0,0,1,0,4,0,0,0,0,73,93,1,1,2,1,0,12,15,184,0,3
Otu000179,0,8,569,8,0,0,5,0,1,0,0,1,2,43,1,4,18,0,0,0,0,2,0
Otu000180,0,1,0,2,0,0,9,0,0,0,0,9,0,80,16,90,416,29,1,0,3,0,0
Otu000181,0,1,0,0,0,0,2,0,0,0,53,172,18,149,0,0,0,0,76,48,91,0,44
Otu000182,0,1,0,0,3,0,0,0,0,0,0,216,275,88,0,0,1,0,45,9,9,0,2
Otu000183,0,0,0,0,1,0,0,0,0,0,10,64,4,13,0,0,0,0,348,193,15,0,0
Otu000184,0,1,0,405,4,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000185,0,0,0,0,0,0,0,0,0,0,15,39,1,38,0,1,6,0,4,5,2,0,3
Otu000186,0,1,0,0,0,0,0,0,0,0,0,1,45,13,1,0,1,0,1,2,421,106,45
Otu000187,0,2,0,0,0,0,0,0,0,0,0,0,0,49,26,164,361,0,1,0,0,28,1
Otu000188,0,0,0,5,46,0,3,0,0,0,0,0,3,14,10,13,29,476,0,1,22,8,0
Otu000189,0,0,0,0,0,0,1,0,0,0,210,295,6,109,0,0,0,0,3,0,0,0,0
Otu000190,0,0,0,0,256,0,0,0,0,0,23,162,1,62,0,0,0,17,28,15,57,0,2
Otu000191,0,0,0,0,0,0,0,0,1,0,13,361,17,50,0,0,0,0,137,31,9,0,0
Otu000192,0,1,1,0,0,1,0,0,0,0,0,0,2,28,16,175,121,77,3,0,48,79,68
Otu000193,0,0,0,7,0,2,0,0,5,0,112,474,0,7,0,2,2,0,4,1,1,1,0
Otu000194,0,1,0,122,0,0,8,0,1,0,2,1,1,78,23,91,157,0,1,1,20,109,0
Otu000195,0,0,0,0,0,0,0,0,0,0,9,252,13,35,0,0,0,0,78,33,3,0,0
Otu000196,0,0,0,0,19,0,0,0,0,0,17,71,5,16,0,0,0,443,5,5,23,0,6
Otu000197,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,237,0,1,0,0,0
Otu000198,0,5,0,1,3,0,1,0,0,0,0,3,10,111,50,97,269,41,0,1,3,11,1
Otu000199,0,0,0,0,1,0,0,0,0,0,10,106,5,34,0,0,0,1,39,402,3,1,0
Otu000200,0,3,3,6,0,0,8,0,1,0,0,0,2,50,28,111,339,43,0,0,1,1,0
