,EMf3, ECf11, EMf1, EMf7, MVf12, EMf2, ECf9, bkEC, bkEM, bkMV, EMw3, EMw6, EMw1, EMw4, EMw7, EMw8, MVw12, EMw2, EMw5, ECw9, ECw10, MVw13
Otu00213,29,22,6,14,0,52,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00214,29,1,4,20,0,70,11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
Otu00215,11,0,24,111,0,0,19,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00216,0,0,0,13,0,0,0,0,0,203,0,0,0,6,1,0,0,0,0,0,0,0
Otu00217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0
Otu00218,7,3,9,59,14,1,18,21,21,14,0,0,0,0,0,0,0,0,0,1,0,1
Otu00219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0
Otu00220,60,1,0,39,0,49,41,3,5,0,0,0,5,0,0,0,0,0,0,0,0,0
Otu00221,0,0,0,0,0,0,0,0,0,0,0,0,50,0,8,146,0,0,0,0,8,0
Otu00222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,37,0,0
Otu00223,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,78
Otu00224,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0
Otu00225,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,3
Otu00226,1,1,9,10,0,1,18,62,45,23,0,0,0,0,0,0,0,0,0,0,0,0
Otu00227,0,0,0,29,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00228,125,1,7,2,0,64,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu00229,3,17,0,3,118,0,0,4,8,0,0,0,40,0,0,0,0,0,0,0,0,0
Otu00230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0
Otu00231,4,2,8,13,1,1,75,34,24,8,0,0,0,0,0,0,0,0,0,0,0,0
Otu00232,25,17,8,70,0,10,8,17,9,0,0,1,5,0,0,0,0,1,2,0,0,0
Otu00233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,183
Otu00234,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
Otu00235,0,0,0,0,2,0,0,0,0,0,0,0,0,62,0,63,0,0,0,0,7,54
Otu00236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0
Otu00237,0,1,0,7,0,0,0,0,0,0,0,0,0,86,44,27,0,0,0,0,1,0
Otu00238,1,0,0,0,0,0,0,0,0,0,0,0,0,14,11,128,0,0,0,0,0,0
Otu00239,4,1,6,16,0,0,41,33,22,25,0,0,0,0,0,0,0,0,0,0,0,0
Otu00240,51,0,4,43,0,37,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00241,1,2,5,10,0,0,43,47,28,1,0,0,1,0,0,0,0,0,0,0,0,0
Otu00242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175
Otu00243,1,4,20,16,2,1,9,49,56,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0
Otu00245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165
Otu00246,9,6,3,54,55,1,2,10,4,0,0,0,8,0,0,0,0,0,0,0,0,0
Otu00247,51,10,27,5,0,46,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu00248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
Otu00249,0,0,0,0,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Otu00250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
Otu00251,0,1,0,0,0,0,0,0,0,0,0,0,0,2,45,103,0,0,0,0,0,0
Otu00252,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,5,0
Otu00253,3,7,4,48,11,1,11,10,15,13,0,0,0,0,0,0,1,0,0,0,2,0
Otu00254,0,0,0,0,0,0,0,0,0,0,0,0,0,3,71,34,0,0,0,0,9,2
Otu00255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0
Otu00256,9,12,6,37,0,3,1,31,13,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu00257,0,0,5,0,0,0,24,25,24,33,0,0,0,0,0,0,0,0,0,0,0,0
Otu00259,5,0,1,12,0,3,22,27,26,14,0,0,0,0,0,0,0,0,0,0,0,0
Otu00260,0,0,0,0,0,0,0,0,0,0,0,0,0,17,122,0,0,0,0,0,0,0
Otu00261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
Otu00262,0,0,0,29,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0
Otu00263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
Otu00264,0,0,0,0,0,0,10,0,0,0,0,0,86,0,0,41,0,0,0,0,0,0
Otu00265,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,2
Otu00266,0,10,2,78,2,11,16,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu00267,0,0,0,0,0,0,0,0,0,0,0,0,1,2,127,0,0,0,0,0,0,0
Otu00268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0
Otu00269,7,0,4,4,0,17,31,12,19,13,0,0,1,0,0,0,0,0,0,0,0,0
Otu00270,0,0,0,0,1,0,115,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1
Otu00271,0,0,0,6,0,0,0,0,0,0,0,0,0,30,75,0,0,0,0,0,13,0
Otu00272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0
